time,cumulative_temp,cumulative_rain,harvest
18.4.2019 0:00,0.8,0,1
23.4.2019 0:00,19.4,0.6,1
24.4.2019 0:00,26.1,0.6,1
26.4.2019 0:00,35.6,0.6,1
28.4.2019 0:00,38.3,0.6,1
29.4.2019 0:00,41.4,0.6,1
18.5.2019 0:00,84.9,30.1,1
2.6.2019 0:00,171,65.4,1
12.6.2019 0:00,280.4,94.7,1
15.6.2019 0:00,311,94.7,1
28.6.2019 0:00,442.4,106.7,2
30.6.2019 0:00,458.4,109.2,2
5.7.2019 0:00,496.2,110.1,2
23.7.2019 0:00,659.6,124.1,2
25.7.2019 0:00,689.9,124.1,2
27.7.2019 0:00,725.3,124.1,2
28.7.2019 0:00,737.9,124.1,2
7.8.2019 0:00,790.3,124.8,2
29.8.2019 0:00,997.3,196.5,3
1.9.2019 0:00,1030.8,197.2,3
